Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"RtlSetUserValueHeap",0,0,0,0,"ntdll","[unknown]",0
"RtlCreateTimer",0,0,0,0,"ntdll","[unknown]",0
"RtlReleaseSRWLockExclusive",0,0,0,0,"ntdll","[unknown]",0
"RtlAcquireSRWLockShared",0,0,0,0,"ntdll","[unknown]",0
"RtlReleaseSRWLockShared",0,0,0,0,"ntdll","[unknown]",0
"RtlReAllocateHeap",0,0,0,0,"ntdll","[unknown]",0
"RtlFreeHeap",0.0580285,0.0580285,2.96587,2.96587,"ntdll","[unknown]",0
"RtlGetCurrentServiceSessionId",0,0,0,0,"ntdll","[unknown]",0
"RtlAcquireSRWLockExclusive",0,0,0,0,"ntdll","[unknown]",0
"RtlAllocateHeap",0,0,0,0,"ntdll","[unknown]",0
"RtlLeaveCriticalSection",0.0058921,0.0058921,0.301149,0.301149,"ntdll","[unknown]",0
"RtlEnterCriticalSection",0.0040052,0.0040052,0.204708,0.204708,"ntdll","[unknown]",0
"RtlQueryPerformanceCounter",0,0,0,0,"ntdll","[unknown]",0
"RtlUserThreadStart",0,0,0,0,"ntdll","[unknown]",0
"RtlSetLastWin32Error",0,0,0,0,"ntdll","[unknown]",0
"RtlRetrieveNtUserPfn",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForSingleObject",0,0,0,0,"ntdll","[unknown]",0
"NtDeviceIoControlFile",0,0,0,0,"ntdll","[unknown]",0
"NtReleaseSemaphore",0,0,0,0,"ntdll","[unknown]",0
"NtSetEvent",0,0,0,0,"ntdll","[unknown]",0
"NtReleaseMutant",0,0,0,0,"ntdll","[unknown]",0
"NtClearEvent",0,0,0,0,"ntdll","[unknown]",0
"ZwFlushBuffersFile",0,0,0,0,"ntdll","[unknown]",0
"NtWaitForMultipleObjects",0,0,0,0,"ntdll","[unknown]",0
"KiUserCallbackDispatcher",0,0,0,0,"ntdll","[unknown]",0
"memset",0,0,0,0,"ntdll","[unknown]",0
